Name,Address,City,Type,Date
West Pittsburg Community Church,204 Bailey Road,Bay Point,Pop-up,15-Nov
Rocketship Dream Community Prep,1700 Cavallo Road,Antioch,Pop-up,19-Nov
Grace Temple COGIC,1001 Fitzuren Road,Antioch,Pop-up,19-Nov
La Villa Mexican Restaurant,6111 Bethel Island Road,Bethel Island,Pop-up,29-Nov
Trinity Center,1888 Trinity Avenue,Walnut Creek,Pop-up,30-Nov
San Pablo Library,13751 San Pablo Avenue,San Pablo,Pop-up,6-Dec
First A.M.E. Church of Bay Point,2915 Willow Pass Road,Bay Point,Pop-up,9-Dec
Concord Community Center,1034 Oak Grove Road,Concord,Stationary,all days
Nick Rodriguez Community Center,213 F Street,Antioch,Stationary,all days
Richmond Memorial Auditorium,403 Civic Center Plaza,Richmon,Stationary,all days